Assay Type,Target Name,pEC50,MW,LogP,H_Donors,H_Acceptors,TPSA,Ring_Count,Rotatable_Bonds
F,Dopamine D1 receptor,6.6252516539898965,315.3690000000001,2.2902000000000005,3.0,5.0,84.94,3.0,4.0
F,Dopamine D1 receptor,6.847711655616943,223.27199999999996,1.4488999999999996,3.0,4.0,75.71000000000001,2.0,2.0
F,Dopamine D1 receptor,7.866461091629782,279.38000000000005,3.0093000000000014,3.0,4.0,75.71000000000001,2.0,6.0
F,Dopamine D1 receptor,7.903089986991944,315.41299999999995,2.883300000000002,3.0,4.0,61.72,3.0,4.0
F,Dopamine D1 receptor,7.46344155742847,285.343,2.281600000000001,3.0,4.0,75.71000000000001,3.0,3.0
F,Dopamine D1 receptor,7.0,361.4410000000001,3.8710000000000044,3.0,4.0,75.71000000000001,4.0,4.0
F,Dopamine D1 receptor,7.173925197299173,233.26699999999997,1.0621999999999998,3.0,4.0,75.71000000000001,2.0,2.0
F,Dopamine D1 receptor,8.173925197299173,277.364,2.619200000000001,3.0,4.0,75.71000000000001,3.0,3.0
F,Dopamine D1 receptor,6.309803919971486,195.218,0.6702999999999999,3.0,4.0,75.71000000000001,2.0,1.0
F,Dopamine D1 receptor,8.2839966563652,299.37,2.6717000000000013,3.0,4.0,75.71000000000001,3.0,4.0
F,Dopamine D1 receptor,8.200659450546418,251.32599999999996,2.2291,3.0,4.0,75.71000000000001,2.0,4.0
F,Dopamine D1 receptor,5.066512712151295,271.316,2.411600000000001,3.0,4.0,75.71000000000001,3.0,2.0
F,Dopamine D1 receptor,8.991399828238082,350.21200000000005,3.174100000000002,3.0,4.0,75.71000000000001,3.0,2.0
F,Dopamine D1 receptor,6.634512015109101,223.27199999999996,1.4488999999999996,3.0,4.0,75.71000000000001,2.0,2.0
F,Dopamine D1 receptor,7.3325470471100465,317.4289999999999,3.4361000000000033,3.0,4.0,61.72,3.0,5.0
F,Dopamine D1 receptor,7.050609993355087,315.369,2.255700000000001,3.0,5.0,84.94000000000001,3.0,5.0
F,Dopamine D1 receptor,8.709965388637482,271.316,2.411600000000001,3.0,4.0,75.71000000000001,3.0,2.0
F,Dopamine D1 receptor,6.906578314837765,317.42900000000003,3.4125000000000014,3.0,4.0,61.72,4.0,4.0
F,Dopamine D1 receptor,5.5638373529592435,367.48900000000003,4.450300000000003,3.0,4.0,61.72,4.0,5.0
F,Dopamine D1 receptor,7.619788758288394,301.342,2.1179000000000006,3.0,5.0,84.94000000000001,3.0,4.0
F,Dopamine D1 receptor,8.292429823902063,329.44,3.2553000000000027,3.0,4.0,75.71000000000001,6.0,2.0
F,Dopamine D1 receptor,5.7594507517174005,335.44399999999996,2.632500000000001,4.0,5.0,81.95,3.0,6.0
F,Dopamine D1 receptor,8.886056647693163,291.39099999999996,2.879900000000002,3.0,4.0,61.72,3.0,3.0
F,Dopamine D1 receptor,8.193820026016112,301.34200000000004,2.4202000000000004,3.0,5.0,84.94,3.0,3.0
F,Dopamine D1 receptor,8.508638306165727,277.364,2.619200000000001,3.0,4.0,75.71000000000001,3.0,2.0
