ChEMBL ID,SMILES,EC50 (nM),Assay Type,Target Name,pEC50,MW,LogP,H_Donors,H_Acceptors,TPSA,Ring_Count,Rotatable_Bonds
CHEMBL87897,COc1ccc(CC2Cc3c(ccc(O)c3O)[C@H](CN)O2)cc1,237.0,F,Dopamine D1 receptor,6.6252516539898965,315.3690000000001,2.2902000000000005,3.0,5.0,84.94,3.0,4.0
CHEMBL2115213,CC[C@@H]1Cc2c(ccc(O)c2O)[C@H](CN)O1,142.0,F,Dopamine D1 receptor,6.847711655616943,223.27199999999996,1.4488999999999996,3.0,4.0,75.71000000000001,2.0,2.0
CHEMBL420972,CCCCCCC1Cc2c(ccc(O)c2O)[C@H](CN)O1,13.6,F,Dopamine D1 receptor,7.866461091629782,279.38000000000005,3.0093000000000014,3.0,4.0,75.71000000000001,2.0,6.0
CHEMBL420788,C#CCNC[C@@H]1OC(C2CCCCC2)Cc2c1ccc(O)c2O,12.5,F,Dopamine D1 receptor,7.903089986991944,315.41299999999995,2.883300000000002,3.0,4.0,61.72,3.0,4.0
CHEMBL87910,NC[C@@H]1OC(Cc2ccccc2)Cc2c1ccc(O)c2O,34.4,F,Dopamine D1 receptor,7.46344155742847,285.343,2.281600000000001,3.0,4.0,75.71000000000001,3.0,3.0
CHEMBL87172,NC[C@@H]1OC(C(c2ccccc2)c2ccccc2)Cc2c1ccc(O)c2O,100.0,F,Dopamine D1 receptor,7.0,361.4410000000001,3.8710000000000044,3.0,4.0,75.71000000000001,4.0,4.0
CHEMBL315849,C#CCC1Cc2c(ccc(O)c2O)[C@H](CN)O1,67.0,F,Dopamine D1 receptor,7.173925197299173,233.26699999999997,1.0621999999999998,3.0,4.0,75.71000000000001,2.0,2.0
CHEMBL85409,NC[C@@H]1OC(CC2CCCC2)Cc2c1ccc(O)c2O,6.7,F,Dopamine D1 receptor,8.173925197299173,277.364,2.619200000000001,3.0,4.0,75.71000000000001,3.0,3.0
CHEMBL87958,NC[C@@H]1OCCc2c1ccc(O)c2O,490.0,F,Dopamine D1 receptor,6.309803919971486,195.218,0.6702999999999999,3.0,4.0,75.71000000000001,2.0,1.0
CHEMBL84983,NC[C@@H]1OC(CCc2ccccc2)Cc2c1ccc(O)c2O,5.2,F,Dopamine D1 receptor,8.2839966563652,299.37,2.6717000000000013,3.0,4.0,75.71000000000001,3.0,4.0
CHEMBL431220,CCCCC1Cc2c(ccc(O)c2O)[C@H](CN)O1,6.3,F,Dopamine D1 receptor,8.200659450546418,251.32599999999996,2.2291,3.0,4.0,75.71000000000001,2.0,4.0
CHEMBL83080,NC[C@H]1O[C@@H](c2ccccc2)Cc2c1ccc(O)c2O,8580.0,F,Dopamine D1 receptor,5.066512712151295,271.316,2.411600000000001,3.0,4.0,75.71000000000001,3.0,2.0
CHEMBL415080,NC[C@@H]1OC(c2ccc(Br)cc2)Cc2c1ccc(O)c2O,1.02,F,Dopamine D1 receptor,8.991399828238082,350.21200000000005,3.174100000000002,3.0,4.0,75.71000000000001,3.0,2.0
CHEMBL2114209,CC[C@H]1Cc2c(ccc(O)c2O)[C@H](CN)O1,232.0,F,Dopamine D1 receptor,6.634512015109101,223.27199999999996,1.4488999999999996,3.0,4.0,75.71000000000001,2.0,2.0
CHEMBL419680,C=CCNC[C@@H]1OC(C2CCCCC2)Cc2c1ccc(O)c2O,46.5,F,Dopamine D1 receptor,7.3325470471100465,317.4289999999999,3.4361000000000033,3.0,4.0,61.72,3.0,5.0
CHEMBL86325,NC[C@@H]1OC(COCc2ccccc2)Cc2c1ccc(O)c2O,89.0,F,Dopamine D1 receptor,7.050609993355087,315.369,2.255700000000001,3.0,5.0,84.94000000000001,3.0,5.0
CHEMBL86931,NC[C@@H]1O[C@H](c2ccccc2)Cc2c1ccc(O)c2O,1.95,F,Dopamine D1 receptor,8.709965388637482,271.316,2.411600000000001,3.0,4.0,75.71000000000001,3.0,2.0
CHEMBL86669,Oc1ccc2c(c1O)CC(C1CCCCC1)O[C@H]2CNC1CC1,124.0,F,Dopamine D1 receptor,6.906578314837765,317.42900000000003,3.4125000000000014,3.0,4.0,61.72,4.0,4.0
CHEMBL315516,Oc1ccc2c(c1O)CC(C1CCCCC1)O[C@H]2CNCc1ccccc1,2730.0,F,Dopamine D1 receptor,5.5638373529592435,367.48900000000003,4.450300000000003,3.0,4.0,61.72,4.0,5.0
CHEMBL86576,NC[C@@H]1OC(COc2ccccc2)Cc2c1ccc(O)c2O,24.0,F,Dopamine D1 receptor,7.619788758288394,301.342,2.1179000000000006,3.0,5.0,84.94000000000001,3.0,4.0
CHEMBL313530,NC[C@@H]1OC(C23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)Cc2c1ccc(O)c2O,5.1,F,Dopamine D1 receptor,8.292429823902063,329.44,3.2553000000000027,3.0,4.0,75.71000000000001,6.0,2.0
CHEMBL85552,OCCCNC[C@@H]1OC(C2CCCCC2)Cc2c1ccc(O)c2O,1740.0,F,Dopamine D1 receptor,5.7594507517174005,335.44399999999996,2.632500000000001,4.0,5.0,81.95,3.0,6.0
CHEMBL315750,CNC[C@@H]1OC(C2CCCCC2)Cc2c1ccc(O)c2O,1.3,F,Dopamine D1 receptor,8.886056647693163,291.39099999999996,2.879900000000002,3.0,4.0,61.72,3.0,3.0
CHEMBL315005,COc1cccc(C2Cc3c(ccc(O)c3O)[C@H](CN)O2)c1,6.4,F,Dopamine D1 receptor,8.193820026016112,301.34200000000004,2.4202000000000004,3.0,5.0,84.94,3.0,3.0
CHEMBL314459,NC[C@@H]1OC(C2CCCCC2)Cc2c1ccc(O)c2O,3.1,F,Dopamine D1 receptor,8.508638306165727,277.364,2.619200000000001,3.0,4.0,75.71000000000001,3.0,2.0
CHEMBL85689,NC[C@@H]1OC(C2CCCCCCC2)Cc2c1ccc(O)c2O,5.8,F,Dopamine D1 receptor,8.236572006437063,305.41799999999995,3.3994000000000026,3.0,4.0,75.71000000000001,3.0,2.0
CHEMBL313304,NC[C@@H]1OC(c2ccc(I)cc2)Cc2c1ccc(O)c2O,2.02,F,Dopamine D1 receptor,8.694648630553376,397.2120000000001,3.016200000000002,3.0,4.0,75.71000000000001,3.0,2.0
CHEMBL420604,NC[C@@H]1OC2(CCCCC2)Cc2c1ccc(O)c2O,68.7,F,Dopamine D1 receptor,7.16304326294045,263.337,2.3732000000000006,3.0,4.0,75.71000000000001,3.0,1.0
CHEMBL315535,C#CCN(C)C[C@@H]1OC(C2CCCCC2)Cc2c1ccc(O)c2O,37.6,F,Dopamine D1 receptor,7.424812155072339,329.43999999999994,3.225500000000003,2.0,4.0,52.93000000000001,3.0,4.0
CHEMBL84557,C=CCN(C)C[C@@H]1OC(C2CCCCC2)Cc2c1ccc(O)c2O,650.0,F,Dopamine D1 receptor,6.187086643357144,331.45599999999996,3.7783000000000038,2.0,4.0,52.93000000000001,3.0,5.0
CHEMBL24077,Oc1cc2c(cc1O)[C@@H](c1ccccc1)CNCC2,386.0,F,Dopamine D1 receptor,6.413412695328245,255.31699999999998,2.3754,3.0,3.0,52.49,3.0,1.0
CHEMBL315468,NC[C@@H]1OC(c2ccccc2)Cc2c1ccc(O)c2O,2.1,F,Dopamine D1 receptor,8.67778070526608,271.316,2.411600000000001,3.0,4.0,75.71000000000001,3.0,2.0
CHEMBL87734,NC[C@@H]1OC(c2cccc(O)c2)Cc2c1ccc(O)c2O,3.5,F,Dopamine D1 receptor,8.455931955649724,287.315,2.1172000000000004,4.0,5.0,95.94000000000001,3.0,2.0
CHEMBL82899,CC(C)(C)C1Cc2c(ccc(O)c2O)[C@H](CN)O1,16.4,F,Dopamine D1 receptor,7.785156151952302,251.32599999999996,2.085,3.0,4.0,75.71000000000001,2.0,1.0
CHEMBL25856,Oc1cc2c(cc1O)[C@H]1c3ccccc3CN[C@@H]1CC2,14.0,B,Dopamine D1 receptor,7.853871964321762,267.32800000000003,2.6477000000000004,3.0,3.0,52.49,4.0,0.0
CHEMBL291143,NC[C@@H]1O[C@H](C23CC4CC(CC(C4)C2)C3)Cc2c1ccc(O)c2O,3.0,B,Dopamine D1 receptor,8.522878745280337,329.44,3.2553000000000027,3.0,4.0,75.71000000000001,6.0,2.0
CHEMBL24077,Oc1cc2c(cc1O)[C@@H](c1ccccc1)CNCC2,59.0,B,Dopamine D1 receptor,7.229147988357855,255.31699999999998,2.3754,3.0,3.0,52.49,3.0,1.0
CHEMBL28338,CCCc1cc2c(s1)CN[C@@H]1CCc3cc(O)c(O)cc3[C@@H]21,9.0,B,Dopamine D1 receptor,8.045757490560675,315.438,3.6617000000000033,3.0,4.0,52.489999999999995,4.0,2.0
CHEMBL544814,CCCc1cc2c(s1)CN[C@H]1CCc3cc(O)c(O)cc3[C@H]21.Cl,1700.0,B,Dopamine D1 receptor,5.769551078621726,351.89899999999994,4.083500000000005,3.0,4.0,52.489999999999995,4.0,2.0
CHEMBL59,NCCc1ccc(O)c(O)c1,100.0,B,Dopamine D1 receptor,7.0,153.18099999999998,0.5989999999999998,3.0,3.0,66.48,1.0,2.0
CHEMBL283247,CCCCc1cnc2c(c1)[C@@H]1c3cc(O)c(O)cc3CC[C@H]1NC2,180.0,F,Dopamine D1 receptor,6.7447274948966935,324.4240000000001,3.3853000000000018,3.0,4.0,65.38000000000001,4.0,3.0
CHEMBL287513,Oc1cc2c(cc1O)[C@H]1c3cc4c(nc3CN[C@@H]1CC2)CCCC4,63.0,F,Dopamine D1 receptor,7.200659450546418,322.4080000000002,2.921500000000001,3.0,4.0,65.38,5.0,0.0
CHEMBL28054,Oc1cc2c(cc1O)[C@H]1c3cnccc3CN[C@@H]1CC2,320.0,F,Dopamine D1 receptor,6.494850021680094,268.31600000000003,2.042699999999999,3.0,4.0,65.38,4.0,0.0
CHEMBL26365,Oc1cc2c(cc1O)[C@H]1c3cncc(F)c3CN[C@@H]1CC2,800.0,F,Dopamine D1 receptor,6.096910013008056,286.30600000000004,2.1818,3.0,4.0,65.38,4.0,0.0
CHEMBL281932,Oc1cc2c(cc1O)[C@H]1c3cccnc3CN[C@@H]1CC2,6.7,F,Dopamine D1 receptor,8.173925197299173,268.31600000000003,2.042699999999999,3.0,4.0,65.38,4.0,0.0
CHEMBL26965,CCCc1ccc2c(n1)CN[C@@H]1CCc3cc(O)c(O)cc3[C@@H]21,8.6,F,Dopamine D1 receptor,8.065501548756432,310.397,2.9952000000000014,3.0,4.0,65.38000000000001,4.0,2.0
CHEMBL25856,Oc1cc2c(cc1O)[C@H]1c3ccccc3CN[C@@H]1CC2,14.0,F,Dopamine D1 receptor,7.853871964321762,267.32800000000003,2.6477000000000004,3.0,3.0,52.49,4.0,0.0
CHEMBL28338,CCCc1cc2c(s1)CN[C@@H]1CCc3cc(O)c(O)cc3[C@@H]21,9.0,F,Dopamine D1 receptor,8.045757490560675,315.438,3.6617000000000033,3.0,4.0,52.489999999999995,4.0,2.0
CHEMBL27117,Cc1ccc2c(n1)CN[C@@H]1CCc3cc(O)c(O)cc3[C@@H]21,23.0,F,Dopamine D1 receptor,7.638272163982407,282.343,2.3511200000000008,3.0,4.0,65.38000000000001,4.0,0.0
CHEMBL282136,Cc1cncc2c1CN[C@@H]1CCc3cc(O)c(O)cc3[C@@H]21,230.0,F,Dopamine D1 receptor,6.638272163982407,282.343,2.3511200000000008,3.0,4.0,65.38000000000001,4.0,0.0
CHEMBL27101,Oc1cc2c(cc1O)[C@H]1c3ccc(F)nc3CN[C@@H]1CC2,18.0,F,Dopamine D1 receptor,7.7447274948966935,286.30600000000004,2.1818,3.0,4.0,65.38,4.0,0.0
CHEMBL285924,COc1ccc2c(n1)CN[C@@H]1CCc3cc(O)c(O)cc3[C@@H]21,8.8,F,Dopamine D1 receptor,8.05551732784983,298.342,2.0513,3.0,5.0,74.61,4.0,1.0
CHEMBL275379,Cc1cnc2c(c1)[C@@H]1c3cc(O)c(O)cc3CC[C@H]1NC2,110.0,F,Dopamine D1 receptor,6.958607314841775,282.34299999999996,2.35112,3.0,4.0,65.38000000000001,4.0,0.0
CHEMBL284644,Oc1cc2c(cc1O)[C@H]1c3ccncc3CN[C@@H]1CC2,38.0,F,Dopamine D1 receptor,7.42021640338319,268.31600000000003,2.042699999999999,3.0,4.0,65.38,4.0,0.0
CHEMBL284959,Cc1cc2c(nc1C)CN[C@@H]1CCc3cc(O)c(O)cc3[C@@H]21,120.0,F,Dopamine D1 receptor,6.920818753952375,296.37,2.6595400000000016,3.0,4.0,65.38000000000001,4.0,0.0
CHEMBL83080,NC[C@H]1O[C@@H](c2ccccc2)Cc2c1ccc(O)c2O,8577.0,F,Dopamine D1 receptor,5.066664589922349,271.316,2.411600000000001,3.0,4.0,75.71000000000001,3.0,2.0
CHEMBL99361,NCC1OCCc2c1ccc(O)c2O,490.0,F,Dopamine D1 receptor,6.309803919971486,195.218,0.6702999999999999,3.0,4.0,75.71000000000001,2.0,1.0
CHEMBL86931,NC[C@@H]1O[C@H](c2ccccc2)Cc2c1ccc(O)c2O,2.1,F,Dopamine D1 receptor,8.67778070526608,271.316,2.411600000000001,3.0,4.0,75.71000000000001,3.0,2.0
CHEMBL286080,Oc1cc2c(cc1O)C(c1ccccc1)CNCC2,386.0,F,Dopamine D1 receptor,6.413412695328245,255.31699999999998,2.3754,3.0,3.0,52.49,3.0,1.0
